data,PETR4
2017-11-07,13.9786
2017-11-08,14.3598
2017-11-09,14.165
2017-11-10,14.165
2017-11-13,14.0972
2017-11-14,13.0043
2017-11-16,13.394
2017-11-17,13.5719
2017-11-21,13.4703
2017-11-22,13.6482
2017-11-23,13.716
2017-11-24,13.6397
2017-11-27,13.4449
2017-11-28,13.4194
2017-11-29,12.9874
2017-11-30,13.0297
2017-12-01,13.2246
2017-12-04,13.1145
2017-12-05,12.9704
2017-12-06,13.1483
2017-12-07,12.9281
2017-12-08,13.0043
2017-12-11,13.0297
2017-12-12,13.1229
2017-12-13,12.8603
2017-12-14,12.7163
2017-12-15,12.6654
2017-12-18,12.8942
2017-12-19,12.8264
2017-12-20,12.9111
2017-12-21,13.4364
2017-12-22,13.3432
2017-12-26,13.5296
2017-12-27,13.5974
2017-12-28,13.6397
2018-01-02,14.0209
2018-01-03,14.148
2018-01-04,14.1734
2018-01-05,14.2582
2018-01-08,14.4276
2018-01-09,14.4276
2018-01-10,14.2327
2018-01-11,14.614
2018-01-12,14.6563
2018-01-15,14.6987
2018-01-16,14.9529
2018-01-17,15.5544
2018-01-18,15.4357
2018-01-19,15.4696
2018-01-22,15.6475
2018-01-23,15.4951
2018-01-24,16.3846
2018-01-26,16.8844
2018-01-29,16.8167
2018-01-30,16.5117
2018-01-31,16.6896
2018-02-01,17.3843
2018-02-02,16.9183
2018-02-05,16.1304
2018-02-06,16.9353
2018-02-07,16.4693
2018-02-08,16.1389
2018-02-09,15.9017
2018-02-14,16.3084
2018-02-15,16.4354
2018-02-16,16.4524
2018-02-19,16.9861
2018-02-20,17.3165
2018-02-21,17.1555
2018-02-22,17.5707
2018-02-23,17.8926
2018-02-26,18.2315
2018-02-27,18.2145
2018-02-28,18.1806
2018-03-01,17.8163
2018-03-02,18.223
2018-03-05,18.7398
2018-03-06,18.5534
2018-03-07,18.3585
2018-03-08,18.384
2018-03-09,18.9685
2018-03-12,18.9177
2018-03-13,18.7313
2018-03-14,18.96
2018-03-15,18.0536
2018-03-16,18.1552
2018-03-19,17.7316
2018-03-20,17.9265
2018-03-21,18.6805
2018-03-22,18.4009
2018-03-23,18.4263
2018-03-26,18.6635
2018-03-27,18.1637
2018-03-28,17.9604
2018-03-29,18.1383
2018-04-02,17.7062
2018-04-03,17.5452
2018-04-04,17.2657
2018-04-05,17.918
2018-04-06,18.0281
2018-04-09,17.3928
2018-04-10,18.1298
2018-04-11,18.4687
2018-04-12,18.367
2018-04-13,17.9604
2018-04-16,17.469
2018-04-17,17.8163
2018-04-18,18.4687
2018-04-19,18.8076
2018-04-20,18.9431
2018-04-23,19.0448
2018-04-24,18.977
2018-04-25,18.4094
2018-04-26,19.1718
2018-04-27,19.2396
2018-04-30,19.4599
2018-05-02,19.1464
2018-05-03,19.0193
2018-05-04,18.8669
2018-05-07,19.1888
2018-05-08,19.4091
2018-05-09,20.9933
2018-05-10,21.8151
2018-05-11,21.5524
2018-05-14,22.2302
2018-05-15,22.6961
2018-05-16,23.2045
2018-05-17,21.9845
2018-05-18,21.7303
2018-05-21,21.222
2018-05-22,20.9759
2018-05-23,19.7535
2018-05-24,17.0455
2018-05-25,16.8079
2018-05-28,14.3546
2018-05-29,16.3834
2018-05-30,16.1118
2018-06-01,13.7179
2018-06-04,14.8809
2018-06-05,14.0829
2018-06-06,13.8622
2018-06-07,13.3784
2018-06-08,12.9454
2018-06-11,13.0813
2018-06-12,13.1237
2018-06-13,12.8775
2018-06-14,12.8181
2018-06-15,12.7078
2018-06-18,12.3088
2018-06-19,13.0898
2018-06-20,13.7604
2018-06-21,12.8181
2018-06-22,12.8266
